Number of		 Processing time in milliseconds / Maximum benefit value
items           Greedy                         D.P                            B.& B.  
10              0.000ms / $1234.342            0.000ms / $1224                0.000ms / $1224 
100             0.000ms / $14838.546           9.000ms / $14825               1.000ms / $14825 
500             0.000ms / $71917.898           188.000ms / $71913             4.000ms / $71913 
1000            0.000ms / $144482.457          423.000ms / $144480            8.000ms / $144480 
3000            0.000ms / $438750.941          4385.000ms / $438749           74.000ms / $438749 
5000            1.000ms / $727838.492          12437.000ms / $727838          265.000ms / $727838 
7000            0.000ms / $1016290.833         23932.000ms / $1016290         478.000ms / $1016290 
9000            1.000ms / $1304101.636         36034.000ms / $1304101         684.000ms / $1304101 
10000           1.000ms / $1451076.343         50600.000ms / $1451076         748.000ms / $1451076 
